"","panel_id","power_output","date","time","lat","lon","site_id","installation_date","manufacturer","batch_model","model","panel_type","panel_area"
"1","PANEL_001",0,45442,00:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"2","PANEL_001",0,45442,01:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"3","PANEL_001",0,45442,02:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"4","PANEL_001",0,45442,03:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"5","PANEL_001",0.01,45442,04:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"6","PANEL_001",0.05,45442,05:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"7","PANEL_001",0.11,45442,06:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"8","PANEL_001",0.27,45442,07:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"9","PANEL_001",0.39,45442,08:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"10","PANEL_001",0.46,45442,09:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"11","PANEL_001",0.5,45442,10:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"12","PANEL_001",0.47,45442,11:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"13","PANEL_001",0.51,45442,12:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"14","PANEL_001",0.47,45442,13:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"15","PANEL_001",0.39,45442,14:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"16","PANEL_001",0.26,45442,15:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"17","PANEL_001",0.13,45442,16:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"18","PANEL_001",0.04,45442,17:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"19","PANEL_001",0.01,45442,18:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"20","PANEL_001",0,45442,19:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"21","PANEL_001",0,45442,20:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"22","PANEL_001",0,45442,21:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"23","PANEL_001",0,45442,22:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
"24","PANEL_001",0,45442,23:00:00,42.6526,-73.7562,"SITE_NY_001",44614,"SolLux","BATCH--1775-06A","SLX-2000","M",17500
