panel_id,power_output,date,time,lat,lon,site_id,installation_date,manufacturer,batch_model,model,panel_type,panel_area
P001,0.6786626996460507,45472.50,0:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,0,45472.50,1:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,2.4568982155711874,45472.50,2:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,0.7367096150936541,45472.50,3:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,2.373345017415388,45472.50,4:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,3.192454497279916,45472.50,5:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,3.379457068973762,45472.50,6:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,4.328094578,45472.50,7:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,3.8736943842171216,45472.50,8:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,4.583161223926236,45472.50,9:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,4.852508767592143,45472.50,10:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,5.061220731668565,45472.50,11:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,5.679038631721552,45472.50,12:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,5.132312018099508,45472.50,13:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
P001,4.339027526445088,45472.50,14:00:00,42.6526,-73.7562,NY001,1432467,SunPower,B1,SP200,M,1632.9922345509196
