"panel_id","power_output","date","time","lat","lon","site_id","installation_date","manufacturer","batch_model","model","panel_type","panel_area"
"P001",0,45472,00:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,01:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,02:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,03:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0136014305742458,45472,04:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0179945582630006,45472,05:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.00709384814042193,45472,06:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.00230358749536418,45472,07:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0174375793056931,45472,08:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0512357845750869,45472,09:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0335086684296495,45472,10:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.103411074580639,45472,11:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0293508273267321,45472,12:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0907398072090969,45472,13:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0421601140554029,45472,14:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0313164079619533,45472,15:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0854300642363117,45472,16:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0464039494492248,45472,17:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.0172249688574566,45472,18:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0.00585516928590124,45472,19:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,20:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,21:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,22:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45472,23:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
"P001",0,45473,00:00:00,42.6526,-73.7562,"NY001",45247,"SunPower","B1","SP200","M",16329.92235
